MBl,BEl,VEp,REs,OGp,RMl,BLs,PFv,PFs,CPt,Family
130.0,4.579113208,0.622641509,0.375019452,0.622641509,0.868658575,0.484981132,0.273584906,0.144107988,3.348990674,Cyprinidae
11.5,2.796068122,0.650699684,0.353779918,0.509799593,0.411156891,0.722460802,0.330169369,0.221095165,2.52559229,Cichlidae
6.6,4.564328663,0.518186798,0.312002053,0.203985189,0.413220558,0.591495007,0.105517091,0.188192832,2.104580281,Cyprinidae
10.9,4.390421849,0.548246779,0.244804397,0.168959411,0.324728245,0.642991085,0.097450038,0.193048515,1.787062437,Cyprinidae
18.9,4.410270702,0.542352862,0.292058213,0.183790427,0.398566603,0.685672223,0.087642712,0.170648307,2.968905553,Cyprinidae
8.1,7.215007387,0.701419255,0.292682927,0.313400093,0.393292683,0.611876371,0.179085767,0.156984296,1.603954046,Cyprinidae
82.0,2.546312456,0.546875558,0.341575092,0.512381063,0.26297763,0.398473812,0.36893787,0.194460833,3.01447933,Cyprinidae
18.5,2.754541467,0.386362758,0.62962963,0.386362758,0.233600823,0.276135736,0.222730176,0.164688395,2.4821671081999996,Anostomidae
14.0,2.951111516,0.396532958,0.468741005,0.482063585,0.136261585,0.395963096,0.23537591,0.167899294,3.077439645,Anostomidae
11.815999999999999,4.366790395,0.652172815,0.306421943,0.478259223,0.726689286,0.617705729,0.583844658,0.147179914,1.446118697,Abyssocottidae
14.0,4.020500914,0.667440597,0.177766424,0.542483822,1.055947492,0.628451811,0.460220817,0.205315345,1.966335453,Abyssocottidae
13.0,6.691192371,0.636910538,0.281133449,0.505974328,0.7226885963999999,0.609520113,0.547614427,0.156216077,2.507995488,Abyssocottidae
21.0,2.371347237,0.475158786,0.351952974,0.434134246,0.387640189,0.447751373,0.330454297,0.200199785,2.034488027,Centrarchidae
21.0,5.114169373,0.675119839,0.153617933,0.0,0.0,0.938147518,0.0,0.369322717,5.829268293,Loricariidae
53.0,4.535059574,0.595910568,0.144950084,0.0,0.0,0.788150661,0.0,0.404231541,7.734895107,Loricariidae
12.0,4.039545634,0.469735943,0.559501195,0.389691334,0.324468411,0.587077742,0.194958089,0.190874298,3.088653369,Cyprinidae
29.0,2.932507764,0.452085707,0.395881782,0.397535581,0.517164374,0.362686284,0.262031638,0.160662551,2.676015867,Cyprinidae
25.0,4.04526378,0.573422018,0.385131091,0.511454198,0.470654256,0.506227084,0.301665101,0.166682585,2.626233463,Cyprinidae
9.7,3.486388456,0.643125777,0.415651858,0.521345733,0.551112611,0.606036287,0.307070135,0.177954608,1.981226415,Cyprinidae
