time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_km,direction,city,country
2023-06-29T16:57:56.166Z,-4.3913,123.4868,10,4.2,mb,14,140,3.774,0.89,us,us6000kqq3,2023-09-08T14:18:37.040Z,Banda Sea,earthquake,8.72,1.87,0.199,7,reviewed,us,us,,,Banda Sea,
2023-04-22T10:00:55.544Z,-5.3643,125.401,9.754,4,mb,16,102,4.505,0.46,us,us7000jwlw,2023-07-03T02:46:41.040Z,Banda Sea,earthquake,8.82,4.56,0.232,10,reviewed,us,us,,,Banda Sea,
2022-10-18T11:46:04.527Z,-4.3646,125.3462,459.85,5,mb,131,26,4.184,0.4,us,us6000iuib,2022-12-31T23:03:38.040Z,Banda Sea,earthquake,6.92,6.27,0.042,184,reviewed,us,us,,,Banda Sea,
2022-09-23T21:08:51.908Z,-5.3135,125.5474,9.446,4.2,mb,22,49,4.592,0.37,us,us6000ipbd,2022-11-26T20:57:23.040Z,Banda Sea,earthquake,5.1,4.933,0.236,5,reviewed,us,us,,,Banda Sea,
2022-04-16T11:45:12.605Z,-4.5792,125.2265,460.04,4.6,mb,,43,4.284,0.79,us,us7000h2nw,2022-06-26T01:18:24.040Z,Banda Sea,earthquake,10.8,7.3,0.052,112,reviewed,us,us,,,Banda Sea,
2022-02-08T10:20:47.325Z,-4.5074,125.3292,472.22,4.1,mb,,44,4.286,0.45,us,us7000gj22,2022-04-19T17:39:07.040Z,Banda Sea,earthquake,11,5.6,0.094,31,reviewed,us,us,,,Banda Sea,
2021-11-26T15:30:38.422Z,-4.463,125.4762,408.81,4.2,mb,,52,4.341,0.99,us,us7000fx8p,2022-02-05T23:04:14.040Z,Banda Sea,earthquake,8.7,8.6,0.083,40,reviewed,us,us,,,Banda Sea,
2021-08-25T04:01:11.249Z,-5.8004,125.1454,589.76,4.5,mb,,76,4.024,0.81,us,us7000f3hs,2021-11-02T14:55:07.040Z,Banda Sea,earthquake,12.6,9.7,0.118,21,reviewed,us,us,,,Banda Sea,
2021-07-04T01:27:36.359Z,-5.8246,125.1562,555.87,4.9,mb,,72,4.003,0.62,us,us6000et7k,2021-09-10T20:06:49.040Z,Banda Sea,earthquake,10,11.8,0.229,6,reviewed,us,us,,,Banda Sea,
2021-05-05T04:00:56.395Z,-4.8603,125.3259,485.03,4.4,mb,,105,4.57,0.84,us,us7000e24i,2021-07-10T20:16:07.040Z,Banda Sea,earthquake,13.9,8,0.169,10,reviewed,us,us,,,Banda Sea,
2021-04-05T15:54:43.078Z,-4.5982,125.2699,513.7,4.3,mb,,67,4.324,0.49,us,us6000e18p,2021-06-12T21:37:23.040Z,Banda Sea,earthquake,13.3,9.1,0.147,13,reviewed,us,us,,,Banda Sea,
2020-09-22T07:53:32.990Z,-4.6979,125.3986,429.68,4.3,mb,,89,4.48,0.93,us,us6000c17n,2020-11-28T21:32:04.040Z,Banda Sea,earthquake,8,13.2,0.188,8,reviewed,us,us,,,Banda Sea,
2020-08-12T17:12:02.012Z,-4.6014,125.2477,481.13,4.1,mb,,56,4.314,0.72,us,us6000bgk9,2020-10-24T20:09:03.040Z,Banda Sea,earthquake,11.9,11.7,0.135,15,reviewed,us,us,,,Banda Sea,
2020-08-05T23:25:26.649Z,-4.6958,125.3917,462.75,4.4,mb,,61,4.474,0.44,us,us6000b9xa,2020-10-21T22:03:53.040Z,Banda Sea,earthquake,10.7,8.4,0.155,12,reviewed,us,us,,,Banda Sea,
2020-04-22T03:38:58.975Z,-5.6428,125.4458,538.32,4.4,mb,,67,4.249,0.81,us,us60009dyq,2020-07-11T22:19:16.040Z,Banda Sea,earthquake,15.8,10.2,0.161,11,reviewed,us,us,,,Banda Sea,
2020-03-01T00:51:02.061Z,-4.4746,125.3471,469.53,4,mb,,62,5.354,0.67,us,us60008b13,2020-05-19T22:14:30.040Z,Banda Sea,earthquake,13.7,14.5,0.212,6,reviewed,us,us,,,Banda Sea,
2019-10-11T15:01:50.163Z,-4.7161,125.2902,482.83,4.7,mb,,55,4.432,0.8,us,us70005tdr,2019-12-28T20:45:59.040Z,Banda Sea,earthquake,11.5,10.3,0.099,31,reviewed,us,us,,,Banda Sea,
2019-09-21T04:25:25.142Z,-5.2356,125.2084,10,4.2,mb,,102,4.586,0.66,us,us70005mk4,2019-12-10T17:27:17.040Z,Banda Sea,earthquake,5.8,2,0.215,6,reviewed,us,us,,,Banda Sea,
2019-08-02T05:56:13.691Z,-4.5071,125.443,466.44,4.4,mb,,85,5.192,0.62,us,us600052ui,2019-10-19T21:42:19.040Z,Banda Sea,earthquake,14.4,12.8,0.161,11,reviewed,us,us,,,Banda Sea,
