tokens,clean_text,stemmed_tokens,stemmed_text
"['setuju', 'film', 'udah', 'berhasil', 'naruh', 'standar', 'animasi', 'indonesia', 'depannya', 'respect', 'crew', 'semoga', 'gk', 'kapok', 'yh', 'bikin', 'cerita', 'menyenangkan', 'kek', 'gini', 'makasih', 'jumbo', 'makasih', 'nurman', 'my', 'child']",setuju film udah berhasil naruh standar animasi indonesia depannya respect crew semoga gk kapok yh bikin cerita menyenangkan kek gini makasih jumbo makasih nurman my child,"['tuju', 'film', 'udah', 'hasil', 'naruh', 'standar', 'animasi', 'indonesia', 'depan', 'respect', 'crew', 'moga', 'gk', 'kapok', 'yh', 'bikin', 'cerita', 'senang', 'kek', 'gin', 'makasih', 'jumbo', 'makasih', 'nurman', 'my', 'child']",tuju film udah hasil naruh standar animasi indonesia depan respect crew moga gk kapok yh bikin cerita senang kek gin makasih jumbo makasih nurman my child
"['indonesia', 'ketolong', 'amanda', 'film', 'animasi', 'jumbo']",indonesia ketolong amanda film animasi jumbo,"['indonesia', 'tolong', 'amanda', 'film', 'animasi', 'jumbo']",indonesia tolong amanda film animasi jumbo
"['nobatkan', 'buzzer', 'gratis', 'film', 'jumbo', 'ga', 'nangis', 'amaze', 'kali', 'animasi', 'indonesia', 'the', 'real', 'melongo', 'film', 'ceritanya', 'ga', 'remeh', 'temeh', 'film', 'animasi', 'ih', 'suka', 'kali', 'jalan', 'cerita', 'animasi', 'smuamuanya']",nobatkan buzzer gratis film jumbo ga nangis amaze kali animasi indonesia the real melongo film ceritanya ga remeh temeh film animasi ih suka kali jalan cerita animasi smuamuanya,"['nobat', 'buzzer', 'gratis', 'film', 'jumbo', 'ga', 'nang', 'amaze', 'kali', 'animasi', 'indonesia', 'the', 'real', 'longo', 'film', 'cerita', 'ga', 'remeh', 'temeh', 'film', 'animasi', 'ih', 'suka', 'kali', 'jalan', 'cerita', 'animasi', 'smuamuanya']",nobat buzzer gratis film jumbo ga nang amaze kali animasi indonesia the real longo film cerita ga remeh temeh film animasi ih suka kali jalan cerita animasi smuamuanya
"['abis', 'nonton', 'jumbo', 'bagus', 'banget', 'sampe', 'bikin', 'toddler', 'nangis', 'haru', 'ayo', 'support', 'film', 'animasi', 'indonesia', 'biar', 'berkembang', 'guys']",abis nonton jumbo bagus banget sampe bikin toddler nangis haru ayo support film animasi indonesia biar berkembang guys,"['abis', 'nonton', 'jumbo', 'bagus', 'banget', 'sampe', 'bikin', 'toddler', 'nang', 'haru', 'ayo', 'support', 'film', 'animasi', 'indonesia', 'biar', 'kembang', 'guys']",abis nonton jumbo bagus banget sampe bikin toddler nang haru ayo support film animasi indonesia biar kembang guys
"['memahami', 'sejarah', 'film', 'indonesia', 'kemana', 'terhubung', 'dgn', 'pendahulu', 'jumbo', 'film', 'animasi', 'abadi', 'nan', 'jaya', 'film', 'series', 'zombie', 'pelangi', 'mars', 'bkn', 'film', 'scifi', 'jasmerah']",memahami sejarah film indonesia kemana terhubung dgn pendahulu jumbo film animasi abadi nan jaya film series zombie pelangi mars bkn film scifi jasmerah,"['paham', 'sejarah', 'film', 'indonesia', 'mana', 'hubung', 'dgn', 'dahulu', 'jumbo', 'film', 'animasi', 'abadi', 'nan', 'jaya', 'film', 'series', 'zombie', 'pelangi', 'mars', 'bkn', 'film', 'scifi', 'jasmerah']",paham sejarah film indonesia mana hubung dgn dahulu jumbo film animasi abadi nan jaya film series zombie pelangi mars bkn film scifi jasmerah
"['review', 'on', 'jumbo', 'magical', 'ga', 'percaya', 'film', 'animasi', 'lokal', 'very', 'carefully', 'written', 'banget', 'detail', 'bulding', 'universe', 'indonesia', 'banget', 'which', 'is', 'good', 'ketawa', 'dikit', 'kakak', 'volunteer', 'ngantukan', 'aja', 'dimasukin', 'me', 'lol']",review on jumbo magical ga percaya film animasi lokal very carefully written banget detail bulding universe indonesia banget which is good ketawa dikit kakak volunteer ngantukan aja dimasukin me lol,"['review', 'on', 'jumbo', 'magical', 'ga', 'percaya', 'film', 'animasi', 'lokal', 'very', 'carefully', 'written', 'banget', 'detail', 'bulding', 'universe', 'indonesia', 'banget', 'which', 'is', 'good', 'ketawa', 'dikit', 'kakak', 'volunteer', 'ngantukan', 'aja', 'dimasukin', 'me', 'lol']",review on jumbo magical ga percaya film animasi lokal very carefully written banget detail bulding universe indonesia banget which is good ketawa dikit kakak volunteer ngantukan aja dimasukin me lol
"['jumbo', 'film', 'animasi', 'indonesia', 'terbagus', 'menurutku', 'aspek', 'deliver']",jumbo film animasi indonesia terbagus menurutku aspek deliver,"['jumbo', 'film', 'animasi', 'indonesia', 'bagus', 'turut', 'aspek', 'deliver']",jumbo film animasi indonesia bagus turut aspek deliver
"['dewasa', 'nonton', 'film', 'jumbo', 'dimana', 'animasi', 'indonesia', 'kualitasnya', 'keren', 'banget', 'nangis', 'sm', 'moral', 'valuenya']",dewasa nonton film jumbo dimana animasi indonesia kualitasnya keren banget nangis sm moral valuenya,"['dewasa', 'nonton', 'film', 'jumbo', 'mana', 'animasi', 'indonesia', 'kualitas', 'keren', 'banget', 'nang', 'sm', 'moral', 'valuenya']",dewasa nonton film jumbo mana animasi indonesia kualitas keren banget nang sm moral valuenya
"['finally', 'stelah', 'kesibukan', 'kerja', 'libur', 'nonton', 'jumbo', 'thiss', 'best', 'film', 'animasi', 'indonesia', 'tonton', 'terima', 'kasih', 'sutradara', 'crew', 'sukses', 'selaluu']",finally stelah kesibukan kerja libur nonton jumbo thiss best film animasi indonesia tonton terima kasih sutradara crew sukses selaluu,"['finally', 'stelah', 'sibuk', 'kerja', 'libur', 'nonton', 'jumbo', 'thiss', 'best', 'film', 'animasi', 'indonesia', 'tonton', 'terima', 'kasih', 'sutradara', 'crew', 'sukses', 'selaluu']",finally stelah sibuk kerja libur nonton jumbo thiss best film animasi indonesia tonton terima kasih sutradara crew sukses selaluu
"['nonton', 'bareng', 'adik', 'film', 'amaze', 'detailnya', 'ga', 'nyangka', 'indonesia', 'pny', 'film', 'animasi', 'sekeren', 'semoga', 'kak', 'bikin', 'film', 'biar', 'adik', 'bungsuku', 'merasakan', 'pengalaman', 'nonton', 'film', 'bioskop']",nonton bareng adik film amaze detailnya ga nyangka indonesia pny film animasi sekeren semoga kak bikin film biar adik bungsuku merasakan pengalaman nonton film bioskop,"['nonton', 'bareng', 'adik', 'film', 'amaze', 'detail', 'ga', 'nyangka', 'indonesia', 'pny', 'film', 'animasi', 'keren', 'moga', 'kak', 'bikin', 'film', 'biar', 'adik', 'bungsu', 'rasa', 'alam', 'nonton', 'film', 'bioskop']",nonton bareng adik film amaze detail ga nyangka indonesia pny film animasi keren moga kak bikin film biar adik bungsu rasa alam nonton film bioskop
