userName,score,content,clean_text,processed_text,tokens,tokens_clean,sentiment,sentiment_rating,final_sentiment
Pengguna Google,1,selamat siang saya penguna Grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali .Terima kasih,selamat siang saya penguna Grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali .Terima kasih,selamat siang penguna grab app ovo finasial bayar tagih pas bayar tagih limit kasih,"['selamat', 'siang', 'saya', 'penguna', 'grab', 'di', 'app', 'saya', 'ada', 'ovo', 'finasial', 'kenapa', 'saya', 'sudah', 'bayar', 'tagih', 'tepat', 'waktu', 'pas', 'bayar', 'tagih', 'limit', 'tidak', 'naik', 'kembali', 'kasih']","['selamat', 'siang', 'penguna', 'grab', 'app', 'ovo', 'finasial', 'bayar', 'tagih', 'pas', 'bayar', 'tagih', 'limit', 'kasih']",positif,negatif,negatif
Pengguna Google,1,kepada yth pimpinan perusahaan grab. manager. dan staf grab saya baru daftar kurang lebih 4 hari lalu. padahal semalam hari minggu onebid jam 08.00 pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali. tolong grab jangan kejam sekali sekali sistem nya.padahal saya tidak ada masalah dengan orderan tau batalin orderan.saya bekerjap sesuai sop di grab. jangan kejam kalian jadi manusia. kasihan akun grab baru tidak ada orderan. yg adil juga kalian grab,kepada yth pimpinan perusahaan grab. manager. dan staf grab saya baru daftar kurang lebih 4 hari lalu. padahal semalam hari minggu onebid jam 08.00 pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali. tolong grab jangan kejam sekali sekali sistem nya.padahal saya tidak ada masalah dengan orderan tau batalin orderan.saya bekerjap sesuai sop di grab. jangan kejam kalian jadi manusia. kasihan akun grab baru tidak ada orderan. yg adil juga kalian grab,yth pimpin usaha grab manager staf grab daftar malam minggu onebid jam pagi order siang malam akun order tolong grab kejam sistem order tau batalin kerjap sesuai sop grab kejam manusia kasihan akun grab order yg adil grab,"['kepada', 'yth', 'pimpin', 'usaha', 'grab', 'manager', 'dan', 'staf', 'grab', 'saya', 'baru', 'daftar', 'kurang', 'lebih', 'hari', 'lalu', 'padahal', 'malam', 'hari', 'minggu', 'onebid', 'jam', 'pagi', 'baru', 'dapat', 'satu', 'order', 'sampai', 'siang', 'dan', 'malam', 'akun', 'saya', 'tidak', 'ada', 'order', 'sama', 'sekali', 'tolong', 'grab', 'jangan', 'kejam', 'sekali', 'sekali', 'sistem', 'saya', 'tidak', 'ada', 'masalah', 'dengan', 'order', 'tau', 'batalin', 'kerjap', 'sesuai', 'sop', 'di', 'grab', 'jangan', 'kejam', 'kalian', 'jadi', 'manusia', 'kasihan', 'akun', 'grab', 'baru', 'tidak', 'ada', 'order', 'yg', 'adil', 'juga', 'kalian', 'grab']","['yth', 'pimpin', 'usaha', 'grab', 'manager', 'staf', 'grab', 'daftar', 'malam', 'minggu', 'onebid', 'jam', 'pagi', 'order', 'siang', 'malam', 'akun', 'order', 'tolong', 'grab', 'kejam', 'sistem', 'order', 'tau', 'batalin', 'kerjap', 'sesuai', 'sop', 'grab', 'kejam', 'manusia', 'kasihan', 'akun', 'grab', 'order', 'yg', 'adil', 'grab']",netral,negatif,negatif
Pengguna Google,1,titiknya selalu gak sesuai,titiknya selalu gak sesuai,titik sesuai,"['titik', 'selalu', 'tidak', 'sesuai']","['titik', 'sesuai']",netral,negatif,negatif
Pengguna Google,3,titik lokasi sering tidak pas,titik lokasi sering tidak pas,titik lokasi pas,"['titik', 'lokasi', 'sering', 'tidak', 'pas']","['titik', 'lokasi', 'pas']",netral,netral,netral
Pengguna Google,3,kok gk bs dibuka aplikasinya,kok gk bs dibuka aplikasinya,buka aplikasi,"['kok', 'tidak', 'bisa', 'buka', 'aplikasi']","['buka', 'aplikasi']",netral,netral,netral
Pengguna Google,1,"Saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambah,malah berkurang? segera kembalikan limit ovo playlater sy! alamat email tersebut tidak valid(tidak ada di email)","Saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambah,malah berkurang? segera kembalikan limit ovo playlater sy! alamat email tersebut tidak valid(tidak ada di email)",bayar ovo paylatertapi limit limit ovo paylatersy alamat email valid email,"['saya', 'sudah', 'bayar', 'ovo', 'paylatertapi', 'limit', 'tidak', 'kembali', 'atau', 'tidak', 'tambah', 'malah', 'kurang', 'segera', 'kembali', 'limit', 'ovo', 'paylatersy', 'alamat', 'email', 'sebut', 'tidak', 'valid', 'tidak', 'ada', 'di', 'email']","['bayar', 'ovo', 'paylatertapi', 'limit', 'limit', 'ovo', 'paylatersy', 'alamat', 'email', 'valid', 'email']",netral,negatif,negatif
Pengguna Google,2,"masa mau login kok susah,pke vermuk cepet bgt lngsung gagal..gmana min?","masa mau login kok susah,pke vermuk cepet bgt lngsung gagal..gmana min?",login susah pke vermuk cepet langsung gagal gmana min,"['masa', 'mau', 'login', 'susah', 'pke', 'vermuk', 'cepet', 'sekali', 'langsung', 'gagal', 'gmana', 'min']","['login', 'susah', 'pke', 'vermuk', 'cepet', 'langsung', 'gagal', 'gmana', 'min']",netral,negatif,negatif
Pengguna Google,3,mahal sangat TK SMA macam aplikasi BOLT,mahal sangat TK SMA macam aplikasi BOLT,mahal sma app bolt,"['mahal', 'sangat', 'tidak', 'sma', 'macam', 'app', 'bolt']","['mahal', 'sma', 'app', 'bolt']",negatif,netral,negatif
Pengguna Google,1,banyak iklan nya ga suka,banyak iklan nya ga suka,iklan suka,"['banyak', 'iklan', 'tidak', 'suka']","['iklan', 'suka']",positif,negatif,negatif
Pengguna Google,1,bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi 1 rupiah buat apa njir mending gausah 😅 tolong jangan suka kasih harapan palsu,bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi 1 rupiah buat apa njir mending gausah 😅 tolong jangan suka kasih harapan palsu,bayar kasih limit diturunin rupiah njir mending gausah tolong suka kasih harap palsu,"['bayar', 'selalu', 'tepat', 'waktu', 'tidak', 'pernah', 'tiba', 'tiba', 'kasih', 'limit', 'tinggi', 'tiba', 'tiba', 'diturunin', 'jadi', 'rupiah', 'untuk', 'apa', 'njir', 'mending', 'gausah', 'tolong', 'jangan', 'suka', 'kasih', 'harap', 'palsu']","['bayar', 'kasih', 'limit', 'diturunin', 'rupiah', 'njir', 'mending', 'gausah', 'tolong', 'suka', 'kasih', 'harap', 'palsu']",positif,negatif,negatif
Pengguna Google,1,app nya sekarang lemot banget load datanya. di android 13,app nya sekarang lemot banget load datanya. di android 13,app lot load data android,"['app', 'sekarang', 'lot', 'sekali', 'load', 'data', 'di', 'android']","['app', 'lot', 'load', 'data', 'android']",negatif,negatif,negatif
Pengguna Google,1,"Driver gak komunikatif. sudah pesan gocar, sudah kontek via chat mengenai lokasi. namun driver tidak kunjung sampai, saya nunggu sampai 30menit! posisi urgent! setidak nya kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan! tolong dong tertibkan driver seperti itu!","Driver gak komunikatif. sudah pesan gocar, sudah kontek via chat mengenai lokasi. namun driver tidak kunjung sampai, saya nunggu sampai 30menit! posisi urgent! setidak nya kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan! tolong dong tertibkan driver seperti itu!",driver komunikatif pesan gocar kontek via chat kena lokasi kemudi kunjung nunggu posisi urgent ambil kabarin batal tolong tertib kemudi,"['driver', 'tidak', 'komunikatif', 'sudah', 'pesan', 'gocar', 'sudah', 'kontek', 'via', 'chat', 'kena', 'lokasi', 'namun', 'kemudi', 'tidak', 'kunjung', 'sampai', 'saya', 'nunggu', 'sampai', 'posisi', 'urgent', 'tidak', 'kalau', 'tidak', 'mau', 'ambil', 'bisa', 'kabarin', 'saya', 'agar', 'saya', 'bisa', 'batal', 'tolong', 'tertib', 'kemudi', 'seperti', 'itu']","['driver', 'komunikatif', 'pesan', 'gocar', 'kontek', 'via', 'chat', 'kena', 'lokasi', 'kemudi', 'kunjung', 'nunggu', 'posisi', 'urgent', 'ambil', 'kabarin', 'batal', 'tolong', 'tertib', 'kemudi']",netral,negatif,negatif
Pengguna Google,2,ui grap maps di perbaiki lagi ya KLO aja sepi ni apk Karne udh males sama ui grap maps nya selalu nyusahin para driver ojek KLO g kami akan tarik investasi dari sham apk grap kalok Masi nyusain para driver dan pengguna .,ui grap maps di perbaiki lagi ya KLO aja sepi ni apk Karne udh males sama ui grap maps nya selalu nyusahin para driver ojek KLO g kami akan tarik investasi dari sham apk grap kalok Masi nyusain para driver dan pengguna .,ui grap maps ya aja sepi ni apk karne males ui grap maps nyusahin kemudi ojek g tarik investasi sham apk grap kalok mas nyusain kemudi,"['ui', 'grap', 'maps', 'di', 'baik', 'lagi', 'ya', 'kalau', 'aja', 'sepi', 'ni', 'apk', 'karne', 'sudah', 'males', 'sama', 'ui', 'grap', 'maps', 'selalu', 'nyusahin', 'para', 'kemudi', 'ojek', 'kalau', 'g', 'kami', 'akan', 'tarik', 'investasi', 'dari', 'sham', 'apk', 'grap', 'kalok', 'mas', 'nyusain', 'para', 'kemudi', 'dan', 'guna']","['ui', 'grap', 'maps', 'ya', 'aja', 'sepi', 'ni', 'apk', 'karne', 'males', 'ui', 'grap', 'maps', 'nyusahin', 'kemudi', 'ojek', 'g', 'tarik', 'investasi', 'sham', 'apk', 'grap', 'kalok', 'mas', 'nyusain', 'kemudi']",netral,negatif,negatif
Pengguna Google,1,"ampun2.. nyari argo diatas 100 rb kaya nyari jarum ditumpukan jerami. gila. potongan selangit. jalanan macet, hujan, jam sibuk, tetap harga murah ke driver, driver selalu dipotong besar, tidak sesuai perjanjian 20℅.anda pikir mengisi bahan bakar itu bisa pakai promo? anda pikir beli ban mobil itu bisa pakai promo? tolong lah tolong","ampun2.. nyari argo diatas 100 rb kaya nyari jarum ditumpukan jerami. gila. potongan selangit. jalanan macet, hujan, jam sibuk, tetap harga murah ke driver, driver selalu dipotong besar, tidak sesuai perjanjian 20℅.anda pikir mengisi bahan bakar itu bisa pakai promo? anda pikir beli ban mobil itu bisa pakai promo? tolong lah tolong",nyari argo rb kaya nyari jarum tumpu jerami gila potong langit jalan macet hujan jam sibuk harga murah driver kemudi potong sesuai janji pikir isi bahan bakar pakai promo pikir beli ban mobil pakai promo tolong tolong,"['nyari', 'argo', 'atas', 'rb', 'kaya', 'nyari', 'jarum', 'tumpu', 'jerami', 'gila', 'potong', 'langit', 'jalan', 'macet', 'hujan', 'jam', 'sibuk', 'tetap', 'harga', 'murah', 'ke', 'driver', 'kemudi', 'selalu', 'potong', 'besar', 'tidak', 'sesuai', 'janji', 'pikir', 'isi', 'bahan', 'bakar', 'itu', 'bisa', 'pakai', 'promo', 'kamu', 'pikir', 'beli', 'ban', 'mobil', 'itu', 'bisa', 'pakai', 'promo', 'tolong', 'tolong']","['nyari', 'argo', 'rb', 'kaya', 'nyari', 'jarum', 'tumpu', 'jerami', 'gila', 'potong', 'langit', 'jalan', 'macet', 'hujan', 'jam', 'sibuk', 'harga', 'murah', 'driver', 'kemudi', 'potong', 'sesuai', 'janji', 'pikir', 'isi', 'bahan', 'bakar', 'pakai', 'promo', 'pikir', 'beli', 'ban', 'mobil', 'pakai', 'promo', 'tolong', 'tolong']",positif,negatif,negatif
Pengguna Google,1,"jangan ada double order deh , estimasi 22:15 dateng2 22:40 , malah dingin makanannya aneh banget.","jangan ada double order deh , estimasi 22:15 dateng2 22:40 , malah dingin makanannya aneh banget.",double order estimasi dingin makan aneh banget,"['jangan', 'ada', 'double', 'order', 'estimasi', 'malah', 'dingin', 'makan', 'aneh', 'banget']","['double', 'order', 'estimasi', 'dingin', 'makan', 'aneh', 'banget']",negatif,negatif,negatif
Pengguna Google,1,"Opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat, waktu orang itu berharga","Opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat, waktu orang itu berharga",opsi batal pesan langsung pesan lambat orang harga,"['opsi', 'batal', 'pesan', 'harus', 'langsung', 'bisa', 'bila', 'pesan', 'lambat', 'waktu', 'orang', 'itu', 'harga']","['opsi', 'batal', 'pesan', 'langsung', 'pesan', 'lambat', 'orang', 'harga']",netral,negatif,negatif
Pengguna Google,1,"KELAPARANMA TUNGGU SUSAH SEKALI DAPAT DRIVER, TOLOL","KELAPARANMA TUNGGU SUSAH SEKALI DAPAT DRIVER, TOLOL",kelaparanma tunggu susah driver tolol,"['kelaparanma', 'tunggu', 'susah', 'sekali', 'dapat', 'driver', 'tolol']","['kelaparanma', 'tunggu', 'susah', 'driver', 'tolol']",netral,negatif,negatif
Pengguna Google,1,pesan makan sudah nunggu 50menit malah di batalin seenaknya dijam estimasi pengantaran.. dajal memang,pesan makan sudah nunggu 50menit malah di batalin seenaknya dijam estimasi pengantaran.. dajal memang,pesan makan nunggu batalin enak jam estimasi dajal,"['pesan', 'makan', 'sudah', 'nunggu', 'malah', 'di', 'batalin', 'enak', 'jam', 'estimasi', 'antar', 'dajal', 'memang']","['pesan', 'makan', 'nunggu', 'batalin', 'enak', 'jam', 'estimasi', 'dajal']",netral,negatif,negatif
Pengguna Google,1,pesan makanan lamaa...driver g pada mau ambil...mana g ada tombol batal...masa pesan makanan bisa sampai 4 jam..kadang dibatalkan sistemnya juga..,pesan makanan lamaa...driver g pada mau ambil...mana g ada tombol batal...masa pesan makanan bisa sampai 4 jam..kadang dibatalkan sistemnya juga..,pesan makan lamaa driver g ambil g tombol batal pesan makan jam kadang batal sistem,"['pesan', 'makan', 'lamaa', 'driver', 'g', 'pada', 'mau', 'ambil', 'mana', 'g', 'ada', 'tombol', 'batal', 'masa', 'pesan', 'makan', 'bisa', 'sampai', 'jam', 'kadang', 'batal', 'sistem', 'juga']","['pesan', 'makan', 'lamaa', 'driver', 'g', 'ambil', 'g', 'tombol', 'batal', 'pesan', 'makan', 'jam', 'kadang', 'batal', 'sistem']",netral,negatif,negatif
Pengguna Google,2,sudah dipulangin tp tetap bikin trauma. tetap aplikasi saya kasih bintang 2. jgn piara driver ga amanah ya,sudah dipulangin tp tetap bikin trauma. tetap aplikasi saya kasih bintang 2. jgn piara driver ga amanah ya,dipulangin bikin trauma app kasih bintang jgn piara kemudi amanah ya,"['sudah', 'dipulangin', 'tapi', 'tetap', 'bikin', 'trauma', 'tetap', 'app', 'saya', 'kasih', 'bintang', 'jgn', 'piara', 'kemudi', 'tidak', 'amanah', 'ya']","['dipulangin', 'bikin', 'trauma', 'app', 'kasih', 'bintang', 'jgn', 'piara', 'kemudi', 'amanah', 'ya']",positif,negatif,negatif
