userName;score;content;clean_text;sentiment
Pengguna Google;1;selamat siang saya penguna Grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali .Terima kasih;selamat siang saya penguna grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali terima kasih;negatif
Pengguna Google;1;kepada yth pimpinan perusahaan grab. manager. dan staf grab saya baru daftar kurang lebih 4 hari lalu. padahal semalam hari minggu onebid jam 08.00 pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali. tolong grab jangan kejam sekali sekali sistem nya.padahal saya tidak ada masalah dengan orderan tau batalin orderan.saya bekerjap sesuai sop di grab. jangan kejam kalian jadi manusia. kasihan akun grab baru tidak ada orderan. yg adil juga kalian grab;kepada yth pimpinan perusahaan grab manager dan staf grab saya baru daftar kurang lebih hari lalu padahal semalam hari minggu onebid jam pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali tolong grab jangan kejam sekali sekali sistem nyapadahal saya tidak ada masalah dengan orderan tau batalin orderansaya bekerjap sesuai sop di grab jangan kejam kalian jadi manusia kasihan akun grab baru tidak ada orderan yg adil juga kalian grab;negatif
Pengguna Google;1;titiknya selalu gak sesuai;titiknya selalu gak sesuai;negatif
Pengguna Google;3;titik lokasi sering tidak pas;titik lokasi sering tidak pas;netral
Pengguna Google;3;kok gk bs dibuka aplikasinya;kok gk bs dibuka aplikasinya;netral
Pengguna Google;1;Saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambah,malah berkurang? segera kembalikan limit ovo playlater sy! alamat email tersebut tidak valid(tidak ada di email);saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambahmalah berkurang segera kembalikan limit ovo playlater sy alamat email tersebut tidak validtidak ada di email;negatif
Pengguna Google;2;masa mau login kok susah,pke vermuk cepet bgt lngsung gagal..gmana min?;masa mau login kok susahpke vermuk cepet bgt lngsung gagalgmana min;negatif
Pengguna Google;3;mahal sangat TK SMA macam aplikasi BOLT;mahal sangat tk sma macam aplikasi bolt;netral
Pengguna Google;1;banyak iklan nya ga suka;banyak iklan nya ga suka;negatif
Pengguna Google;1;bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi 1 rupiah buat apa njir mending gausah 😅 tolong jangan suka kasih harapan palsu;bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi rupiah buat apa njir mending gausah tolong jangan suka kasih harapan palsu;negatif
Pengguna Google;1;app nya sekarang lemot banget load datanya. di android 13;app nya sekarang lemot banget load datanya di android;negatif
Pengguna Google;1;Driver gak komunikatif. sudah pesan gocar, sudah kontek via chat mengenai lokasi. namun driver tidak kunjung sampai, saya nunggu sampai 30menit! posisi urgent! setidak nya kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan! tolong dong tertibkan driver seperti itu!;driver gak komunikatif sudah pesan gocar sudah kontek via chat mengenai lokasi namun driver tidak kunjung sampai saya nunggu sampai menit posisi urgent setidak nya kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan tolong dong tertibkan driver seperti itu;negatif
Pengguna Google;2;ui grap maps di perbaiki lagi ya KLO aja sepi ni apk Karne udh males sama ui grap maps nya selalu nyusahin para driver ojek KLO g kami akan tarik investasi dari sham apk grap kalok Masi nyusain para driver dan pengguna .;ui grap maps di perbaiki lagi ya klo aja sepi ni apk karne udh males sama ui grap maps nya selalu nyusahin para driver ojek klo g kami akan tarik investasi dari sham apk grap kalok masi nyusain para driver dan pengguna;negatif
Pengguna Google;1;ampun2.. nyari argo diatas 100 rb kaya nyari jarum ditumpukan jerami. gila. potongan selangit. jalanan macet, hujan, jam sibuk, tetap harga murah ke driver, driver selalu dipotong besar, tidak sesuai perjanjian 20℅.anda pikir mengisi bahan bakar itu bisa pakai promo? anda pikir beli ban mobil itu bisa pakai promo? tolong lah tolong;ampun nyari argo diatas rb kaya nyari jarum ditumpukan jerami gila potongan selangit jalanan macet hujan jam sibuk tetap harga murah ke driver driver selalu dipotong besar tidak sesuai perjanjian anda pikir mengisi bahan bakar itu bisa pakai promo anda pikir beli ban mobil itu bisa pakai promo tolong lah tolong;negatif
Pengguna Google;1;jangan ada double order deh , estimasi 22:15 dateng2 22:40 , malah dingin makanannya aneh banget.;jangan ada double order deh estimasi dateng malah dingin makanannya aneh banget;negatif
Pengguna Google;1;Opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat, waktu orang itu berharga;opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat waktu orang itu berharga;negatif
Pengguna Google;1;KELAPARANMA TUNGGU SUSAH SEKALI DAPAT DRIVER, TOLOL;kelaparanma tunggu susah sekali dapat driver tolol;negatif
Pengguna Google;1;pesan makan sudah nunggu 50menit malah di batalin seenaknya dijam estimasi pengantaran.. dajal memang;pesan makan sudah nunggu menit malah di batalin seenaknya dijam estimasi pengantaran dajal memang;negatif
Pengguna Google;1;pesan makanan lamaa...driver g pada mau ambil...mana g ada tombol batal...masa pesan makanan bisa sampai 4 jam..kadang dibatalkan sistemnya juga..;pesan makanan lamaadriver g pada mau ambilmana g ada tombol batalmasa pesan makanan bisa sampai jamkadang dibatalkan sistemnya juga;negatif
Pengguna Google;2;sudah dipulangin tp tetap bikin trauma. tetap aplikasi saya kasih bintang 2. jgn piara driver ga amanah ya;sudah dipulangin tp tetap bikin trauma tetap aplikasi saya kasih bintang jgn piara driver ga amanah ya;negatif
Pengguna Google;1;driver mobil dan motor nya banyak pilih pilih harga , dekat kaga mau di ambil sangat kurang bagus service nya;driver mobil dan motor nya banyak pilih pilih harga dekat kaga mau di ambil sangat kurang bagus service nya;negatif
Pengguna Google;1;grabfood kek 💩😤, harusnya kalau ndak ada pembatalan manual, kasih kek batal otomatis, udah 3x ini, ordeer nunggu berjam jam kek 💩, kecewaan polll. gak tau udah kelaparan malah kek gini;grabfood kek harusnya kalau ndak ada pembatalan manual kasih kek batal otomatis udah x ini ordeer nunggu berjam jam kek kecewaan polll gak tau udah kelaparan malah kek gini;negatif
Pengguna Google;1;jangan mau beli disini harga nya mahal2 dan ga ada diskon;jangan mau beli disini harga nya mahal dan ga ada diskon;negatif
Pengguna Google;1;lelet drivernya pada gamau uang atau apa;lelet drivernya pada gamau uang atau apa;negatif
Pengguna Google;1;mau pesan taxi online aja ribet banget.;mau pesan taxi online aja ribet banget;negatif
Pengguna Google;2;lagi pesen ojek kok kebanyakan iklannya. bikin ribet mantau drivernya tau;lagi pesen ojek kok kebanyakan iklannya bikin ribet mantau drivernya tau;negatif
Pengguna Google;1;aplikasi setan gbs di cancel;aplikasi setan gbs di cancel;negatif
Pengguna Google;1;kenapa sekarang greb pake blue bird ..lebih mahal 2 X lipett ..;kenapa sekarang greb pake blue bird lebih mahal x lipett;negatif
Pengguna Google;3;i cannot sign in with my email;i cannot sign in with my email;netral
Pengguna Google;1;Grab skarang kwalitasnya uda gak kayak dulu lagi.;grab skarang kwalitasnya uda gak kayak dulu lagi;negatif
Pengguna Google;1;pengantaran hemat ..orderan dipending 1 jam.. wkwkwkkw;pengantaran hemat orderan dipending jam wkwkwkkw;negatif
Pengguna Google;1;Bayar slalu tepat waktu.. Tiba2 limit paylatter jd NOL tanpa ada info, aneh...jd pertimbangan u/ un-install apl..;bayar slalu tepat waktu tiba limit paylatter jd nol tanpa ada info anehjd pertimbangan u uninstall apl;negatif
Pengguna Google;1;iklan kalian menyusahkan sekali, terutama saat akan menonton YouTube.;iklan kalian menyusahkan sekali terutama saat akan menonton youtube;negatif
Pengguna Google;3;Saya mau pesan makanan, di sananya tertera jelas ada diskon 60%,dan ada yg 20% saat mau saya pakai semuanya tidak bisa! jika tidak bisa di pakai tidak usah di tambah tambahin diskon!;saya mau pesan makanan di sananya tertera jelas ada diskon dan ada yg saat mau saya pakai semuanya tidak bisa jika tidak bisa di pakai tidak usah di tambah tambahin diskon;netral
Pengguna Google;1;3 jam pesan grab car tidak ada yang nyangkut padahal termasuk kota besar, giliran pakai aplikasi sebelah langsung nyangkut... mengecewakan;jam pesan grab car tidak ada yang nyangkut padahal termasuk kota besar giliran pakai aplikasi sebelah langsung nyangkut mengecewakan;negatif
Pengguna Google;1;Maps nya gajelas, masa iya pesen makanan tiba² lokasi kita jadi jauh banget, kasian Abang grabnya nyariin;maps nya gajelas masa iya pesen makanan tiba² lokasi kita jadi jauh banget kasian abang grabnya nyariin;negatif
Pengguna Google;1;kurirnya tidak sopan;kurirnya tidak sopan;negatif
Pengguna Google;1;terulang lagi beli makanan mau pakai yg cepet dan reguler sama saja,beli bubur pesen jam 7,30tiba jam 8,30satu jam? sudh tanya resto beres 7,45 driver ngaku br dpet order masuk sangat merugikan sekali pdhal. sering pakai aplikasi kayaknya kapok terakhir beli disini!;terulang lagi beli makanan mau pakai yg cepet dan reguler sama sajabeli bubur pesen jam tiba jam satu jam sudh tanya resto beres driver ngaku br dpet order masuk sangat merugikan sekali pdhal sering pakai aplikasi kayaknya kapok terakhir beli disini;negatif
Pengguna Google;2;saya beli token listrik di aplikasi grab ini, tapi udh 1 bulan lebih no strome nya gak keluar, tadi nya beli di grab supaya mudah dan harga bersaing ternyata kekecewaan yang di dapat, udah komplain beberapa kali ke pihak grab gak pernah ada solusi, yang ada saldo ovo di potong, setiap kali komplain ke pihak grab jawabannya muter-muter, apakah di antara kawan ada yang mengalami seperti yang saya alami;saya beli token listrik di aplikasi grab ini tapi udh bulan lebih no strome nya gak keluar tadi nya beli di grab supaya mudah dan harga bersaing ternyata kekecewaan yang di dapat udah komplain beberapa kali ke pihak grab gak pernah ada solusi yang ada saldo ovo di potong setiap kali komplain ke pihak grab jawabannya mutermuter apakah di antara kawan ada yang mengalami seperti yang saya alami;negatif
Pengguna Google;1;Masa tiba-tiba limit ovo paylater jadi 0, kecewa parah sih;masa tibatiba limit ovo paylater jadi kecewa parah sih;negatif
Pengguna Google;1;limit OVOPaylater hilang padahal pembayaran disiplin tidak pernah bermasalah. Kecewa!;limit ovopaylater hilang padahal pembayaran disiplin tidak pernah bermasalah kecewa;negatif
Pengguna Google;1;susah menghubungi restoran kalau ada pesanan;susah menghubungi restoran kalau ada pesanan;negatif
Pengguna Google;2;sedikit kecewa;sedikit kecewa;negatif
Pengguna Google;5;sangat puas;sangat puas;positif
Pengguna Google;5;pengiriman cepat & pelayanan memuaskan;pengiriman cepat pelayanan memuaskan;positif
Pengguna Google;5;solisi terbaik bepergian ,grab🥰;solisi terbaik bepergian grab;positif
Pengguna Google;5;baik sekali;baik sekali;positif
Pengguna Google;5;terima kasih;terima kasih;positif
Pengguna Google;5;cepet respon;cepet respon;positif
Pengguna Google;5;amanah,baik,sopan,dan ramah,,,pokonya puas banget;amanahbaiksopandan ramahpokonya puas banget;positif
Pengguna Google;5;sopan dan baik;sopan dan baik;positif
Pengguna Google;5;Baik;baik;positif
Pengguna Google;1;aplikasi buruk n mahal mau pesan makan di persulit;aplikasi buruk n mahal mau pesan makan di persulit;negatif
Pengguna Google;1;males sama drivernya masa di turynin di tempat yang jauh dari tujuan beberapa kalo juga drivernya ketus sama judes, mendecakkan suara di depan penumpang its not good;males sama drivernya masa di turynin di tempat yang jauh dari tujuan beberapa kalo juga drivernya ketus sama judes mendecakkan suara di depan penumpang its not good;negatif
Pengguna Google;5;mudah;mudah;positif
Pengguna Google;5;puas;puas;positif
Pengguna Google;1;ini aplikasi kenapa dah,orang mau cari jemputan aja susah,saya nunggu udh lebih dari 1 jam;ini aplikasi kenapa dahorang mau cari jemputan aja susahsaya nunggu udh lebih dari jam;negatif
Pengguna Google;5;Endog iwak;endog iwak;positif
Pengguna Google;5;good;good;positif
Pengguna Google;5;nyaman dan ramah;nyaman dan ramah;positif
Pengguna Google;5;ikaan hiu melayang layang, kamu bikin aku makin sayang🤭 kiw kiw cukurukuk kukgeruuu😂😂😂;ikaan hiu melayang layang kamu bikin aku makin sayang kiw kiw cukurukuk kukgeruuu;positif
Pengguna Google;1;iklann aja di mana mana cape anj lu Mulu iklan;iklann aja di mana mana cape anj lu mulu iklan;negatif
Pengguna Google;1;saya pesan grab exprest oleh driver dibatalkan saldo ovo saya sudah terpotong & tidak ada pengembalian dana jadi males pake non tunai;saya pesan grab exprest oleh driver dibatalkan saldo ovo saya sudah terpotong tidak ada pengembalian dana jadi males pake non tunai;negatif
Pengguna Google;1;makin lama makin gak jelas sistem mu, satu driver terima bnyak pesanan padahal harga makanan dll sdh di up driver cuma terima sebagian kecil akhirnya sering terlambat kirim orderan makanan ujung² nya customer yg di rugikan;makin lama makin gak jelas sistem mu satu driver terima bnyak pesanan padahal harga makanan dll sdh di up driver cuma terima sebagian kecil akhirnya sering terlambat kirim orderan makanan ujung² nya customer yg di rugikan;negatif
Pengguna Google;4;"ada 1 driver ojol yang memakai 2 aplikasi grab dan Maxim . waktu mau pergi ke sekolah dia datang ke lokasi dengan jaket Maxim lalu pas di pertengahan jalan dia bilang ""jemput yang 1 lagi ya dek""saya tidak mengerti maksudnya ternyata dia menjemput satu customer lagi dari apk Maxim dan kami satu tujuan, dia minta agar kami bonceng tiga. padahal adek saya sudah terlambat sekolah tolong kasih peringatan kepada driver seperti itu";ada driver ojol yang memakai aplikasi grab dan maxim waktu mau pergi ke sekolah dia datang ke lokasi dengan jaket maxim lalu pas di pertengahan jalan dia bilang jemput yang lagi ya deksaya tidak mengerti maksudnya ternyata dia menjemput satu customer lagi dari apk maxim dan kami satu tujuan dia minta agar kami bonceng tiga padahal adek saya sudah terlambat sekolah tolong kasih peringatan kepada driver seperti itu;positif
Pengguna Google;1;astagfirullah, kenapa gabisa connect ama ovo payment ? kok bego banget sih ? sesusah itukah ? nyebut banget gw makanya Nadim korupsi buat benerin elu astagfirullah;astagfirullah kenapa gabisa connect ama ovo payment kok bego banget sih sesusah itukah nyebut banget gw makanya nadim korupsi buat benerin elu astagfirullah;negatif
Pengguna Google;5;baik;baik;positif
Pengguna Google;1;mohon maaf tidak mau pesan masalah grab banyak bertolak penumpang saya kecewa nunggu korban 3 jam berapa kali tolak gara grab suka paksa harga mahal tidak adil rakyat supir tidak pikir hati menghormati penumpang anda tidak profesional.;mohon maaf tidak mau pesan masalah grab banyak bertolak penumpang saya kecewa nunggu korban jam berapa kali tolak gara grab suka paksa harga mahal tidak adil rakyat supir tidak pikir hati menghormati penumpang anda tidak profesional;negatif
Pengguna Google;5;sopan;sopan;positif
Pengguna Google;5;sangat membantu;sangat membantu;positif
Pengguna Google;1;telat 2 jam woi;telat jam woi;negatif
Pengguna Google;5;ok;ok;positif
Pengguna Google;5;Tepat waktu;tepat waktu;positif
Pengguna Google;1;pembayaran non tunai ga ada yg bisa. bisa bantu?;pembayaran non tunai ga ada yg bisa bisa bantu;negatif
Pengguna Google;1;ra iso dinggo are.. dibekukan? emang gw ngapain cok???;ra iso dinggo are dibekukan emang gw ngapain cok;negatif
Pengguna Google;1;gk jelas grab, limit paylater makin berkurang, padahal pembayaran GK pernah telat.;gk jelas grab limit paylater makin berkurang padahal pembayaran gk pernah telat;negatif
