userName,score,content,clean_text,tokens,sentiment,sentiment_rating,final_sentiment
Pengguna Google,1,selamat siang saya penguna Grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali .Terima kasih,selamat siang saya penguna grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali terima kasih,"['selamat', 'siang', 'saya', 'penguna', 'grab', 'di', 'aplikasi', 'saya', 'ada', 'ovo', 'finasial', 'kenapa', 'saya', 'sudah', 'bayar', 'tagihan', 'tepat', 'waktu', 'pas', 'bayar', 'tagihan', 'limitnya', 'tidak', 'naik', 'kembali', 'terima', 'kasih']",positif,negatif,negatif
Pengguna Google,1,kepada yth pimpinan perusahaan grab. manager. dan staf grab saya baru daftar kurang lebih 4 hari lalu. padahal semalam hari minggu onebid jam 08.00 pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali. tolong grab jangan kejam sekali sekali sistem nya.padahal saya tidak ada masalah dengan orderan tau batalin orderan.saya bekerjap sesuai sop di grab. jangan kejam kalian jadi manusia. kasihan akun grab baru tidak ada orderan. yg adil juga kalian grab,kepada yth pimpinan perusahaan grab manager dan staf grab saya baru daftar kurang lebih hari lalu padahal semalam hari minggu onebid jam pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali tolong grab jangan kejam sekali sekali sistem nyapadahal saya tidak ada masalah dengan orderan tau batalin orderansaya bekerjap sesuai sop di grab jangan kejam kalian jadi manusia kasihan akun grab baru tidak ada orderan yang adil juga kalian grab,"['kepada', 'yth', 'pimpinan', 'perusahaan', 'grab', 'manager', 'dan', 'staf', 'grab', 'saya', 'baru', 'daftar', 'kurang', 'lebih', 'hari', 'lalu', 'padahal', 'semalam', 'hari', 'minggu', 'onebid', 'jam', 'pagi', 'baru', 'dapat', 'satu', 'orderan', 'sampai', 'siang', 'dan', 'malam', 'akun', 'saya', 'tidak', 'ada', 'orderan', 'sama', 'sekali', 'tolong', 'grab', 'jangan', 'kejam', 'sekali', 'sekali', 'sistem', 'nyapadahal', 'saya', 'tidak', 'ada', 'masalah', 'dengan', 'orderan', 'tau', 'batalin', 'orderansaya', 'bekerjap', 'sesuai', 'sop', 'di', 'grab', 'jangan', 'kejam', 'kalian', 'jadi', 'manusia', 'kasihan', 'akun', 'grab', 'baru', 'tidak', 'ada', 'orderan', 'yg', 'adil', 'juga', 'kalian', 'grab']",netral,negatif,negatif
Pengguna Google,1,titiknya selalu gak sesuai,titiknya selalu tidak sesuai,"['titiknya', 'selalu', 'gak', 'sesuai']",netral,negatif,negatif
Pengguna Google,3,titik lokasi sering tidak pas,titik lokasi sering tidak pas,"['titik', 'lokasi', 'sering', 'tidak', 'pas']",netral,netral,netral
Pengguna Google,3,kok gk bs dibuka aplikasinya,kok tidak bisa dibuka aplikasinya,"['kok', 'gk', 'bs', 'dibuka', 'aplikasinya']",netral,netral,netral
Pengguna Google,1,"Saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambah,malah berkurang? segera kembalikan limit ovo playlater sy! alamat email tersebut tidak valid(tidak ada di email)",saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambahmalah berkurang segera kembalikan limit ovo playlater saya alamat email tersebut tidak validtidak ada di email,"['saya', 'sudah', 'membayar', 'ovo', 'playlater', 'tapi', 'kok', 'limit', 'tidak', 'kembali', 'atau', 'tidak', 'bertambahmalah', 'berkurang', 'segera', 'kembalikan', 'limit', 'ovo', 'playlater', 'sy', 'alamat', 'email', 'tersebut', 'tidak', 'validtidak', 'ada', 'di', 'email']",netral,negatif,negatif
Pengguna Google,2,"masa mau login kok susah,pke vermuk cepet bgt lngsung gagal..gmana min?",masa mau login kok susahpke vermuk cepet sekali lngsung gagalgmana min,"['masa', 'mau', 'login', 'kok', 'susahpke', 'vermuk', 'cepet', 'bgt', 'lngsung', 'gagalgmana', 'min']",netral,negatif,negatif
Pengguna Google,3,mahal sangat TK SMA macam aplikasi BOLT,mahal sangat tk sma macam aplikasi bolt,"['mahal', 'sangat', 'tk', 'sma', 'macam', 'aplikasi', 'bolt']",negatif,netral,negatif
Pengguna Google,1,banyak iklan nya ga suka,banyak iklan  tidak suka,"['banyak', 'iklan', 'nya', 'ga', 'suka']",positif,negatif,negatif
Pengguna Google,1,bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi 1 rupiah buat apa njir mending gausah 😅 tolong jangan suka kasih harapan palsu,bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi rupiah untuk apa njir mending gausah tolong jangan suka kasih harapan palsu,"['bayar', 'selalu', 'tepat', 'waktu', 'ngak', 'pernah', 'tiba', 'tiba', 'dikasih', 'limit', 'tinggi', 'tiba', 'tiba', 'diturunin', 'jadi', 'rupiah', 'buat', 'apa', 'njir', 'mending', 'gausah', 'tolong', 'jangan', 'suka', 'kasih', 'harapan', 'palsu']",positif,negatif,negatif
