userName;score;content
Pengguna Google;1;selamat siang saya penguna Grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali .Terima kasih
Pengguna Google;1;kepada yth pimpinan perusahaan grab. manager. dan staf grab saya baru daftar kurang lebih 4 hari lalu. padahal semalam hari minggu onebid jam 08.00 pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali. tolong grab jangan kejam sekali sekali sistem nya.padahal saya tidak ada masalah dengan orderan tau batalin orderan.saya bekerjap sesuai sop di grab. jangan kejam kalian jadi manusia. kasihan akun grab baru tidak ada orderan. yg adil juga kalian grab
Pengguna Google;1;titiknya selalu gak sesuai
Pengguna Google;3;titik lokasi sering tidak pas
Pengguna Google;3;kok gk bs dibuka aplikasinya
Pengguna Google;1;Saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambah,malah berkurang? segera kembalikan limit ovo playlater sy! alamat email tersebut tidak valid(tidak ada di email)
Pengguna Google;2;masa mau login kok susah,pke vermuk cepet bgt lngsung gagal..gmana min?
Pengguna Google;3;mahal sangat TK SMA macam aplikasi BOLT
Pengguna Google;1;banyak iklan nya ga suka
Pengguna Google;1;bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi 1 rupiah buat apa njir mending gausah 😅 tolong jangan suka kasih harapan palsu
Pengguna Google;1;app nya sekarang lemot banget load datanya. di android 13
Pengguna Google;1;Driver gak komunikatif. sudah pesan gocar, sudah kontek via chat mengenai lokasi. namun driver tidak kunjung sampai, saya nunggu sampai 30menit! posisi urgent! setidak nya kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan! tolong dong tertibkan driver seperti itu!
Pengguna Google;2;ui grap maps di perbaiki lagi ya KLO aja sepi ni apk Karne udh males sama ui grap maps nya selalu nyusahin para driver ojek KLO g kami akan tarik investasi dari sham apk grap kalok Masi nyusain para driver dan pengguna .
Pengguna Google;1;ampun2.. nyari argo diatas 100 rb kaya nyari jarum ditumpukan jerami. gila. potongan selangit. jalanan macet, hujan, jam sibuk, tetap harga murah ke driver, driver selalu dipotong besar, tidak sesuai perjanjian 20℅.anda pikir mengisi bahan bakar itu bisa pakai promo? anda pikir beli ban mobil itu bisa pakai promo? tolong lah tolong
Pengguna Google;1;jangan ada double order deh , estimasi 22:15 dateng2 22:40 , malah dingin makanannya aneh banget.
Pengguna Google;1;Opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat, waktu orang itu berharga
Pengguna Google;1;KELAPARANMA TUNGGU SUSAH SEKALI DAPAT DRIVER, TOLOL
Pengguna Google;1;pesan makan sudah nunggu 50menit malah di batalin seenaknya dijam estimasi pengantaran.. dajal memang
Pengguna Google;1;pesan makanan lamaa...driver g pada mau ambil...mana g ada tombol batal...masa pesan makanan bisa sampai 4 jam..kadang dibatalkan sistemnya juga..
Pengguna Google;2;sudah dipulangin tp tetap bikin trauma. tetap aplikasi saya kasih bintang 2. jgn piara driver ga amanah ya
Pengguna Google;1;driver mobil dan motor nya banyak pilih pilih harga , dekat kaga mau di ambil sangat kurang bagus service nya
Pengguna Google;1;grabfood kek 💩😤, harusnya kalau ndak ada pembatalan manual, kasih kek batal otomatis, udah 3x ini, ordeer nunggu berjam jam kek 💩, kecewaan polll. gak tau udah kelaparan malah kek gini
Pengguna Google;1;jangan mau beli disini harga nya mahal2 dan ga ada diskon
Pengguna Google;1;lelet drivernya pada gamau uang atau apa
Pengguna Google;1;mau pesan taxi online aja ribet banget.
Pengguna Google;2;lagi pesen ojek kok kebanyakan iklannya. bikin ribet mantau drivernya tau
Pengguna Google;1;aplikasi setan gbs di cancel
Pengguna Google;1;kenapa sekarang greb pake blue bird ..lebih mahal 2 X lipett ..
Pengguna Google;3;i cannot sign in with my email
Pengguna Google;1;Grab skarang kwalitasnya uda gak kayak dulu lagi.
Pengguna Google;1;pengantaran hemat ..orderan dipending 1 jam.. wkwkwkkw
Pengguna Google;1;Bayar slalu tepat waktu.. Tiba2 limit paylatter jd NOL tanpa ada info, aneh...jd pertimbangan u/ un-install apl..
Pengguna Google;1;iklan kalian menyusahkan sekali, terutama saat akan menonton YouTube.
Pengguna Google;3;Saya mau pesan makanan, di sananya tertera jelas ada diskon 60%,dan ada yg 20% saat mau saya pakai semuanya tidak bisa! jika tidak bisa di pakai tidak usah di tambah tambahin diskon!
Pengguna Google;1;3 jam pesan grab car tidak ada yang nyangkut padahal termasuk kota besar, giliran pakai aplikasi sebelah langsung nyangkut... mengecewakan
Pengguna Google;1;Maps nya gajelas, masa iya pesen makanan tiba² lokasi kita jadi jauh banget, kasian Abang grabnya nyariin
Pengguna Google;1;kurirnya tidak sopan
Pengguna Google;1;terulang lagi beli makanan mau pakai yg cepet dan reguler sama saja,beli bubur pesen jam 7,30tiba jam 8,30satu jam? sudh tanya resto beres 7,45 driver ngaku br dpet order masuk sangat merugikan sekali pdhal. sering pakai aplikasi kayaknya kapok terakhir beli disini!
Pengguna Google;2;saya beli token listrik di aplikasi grab ini, tapi udh 1 bulan lebih no strome nya gak keluar, tadi nya beli di grab supaya mudah dan harga bersaing ternyata kekecewaan yang di dapat, udah komplain beberapa kali ke pihak grab gak pernah ada solusi, yang ada saldo ovo di potong, setiap kali komplain ke pihak grab jawabannya muter-muter, apakah di antara kawan ada yang mengalami seperti yang saya alami
Pengguna Google;1;Masa tiba-tiba limit ovo paylater jadi 0, kecewa parah sih
Pengguna Google;1;limit OVOPaylater hilang padahal pembayaran disiplin tidak pernah bermasalah. Kecewa!
