userName,score,content,clean_text,processed_text,tokens,sentiment,sentiment_rating,final_sentiment
Pengguna Google,1,selamat siang saya penguna Grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali .Terima kasih,selamat siang saya penguna Grab di aplikasi saya ada ovo finasial kenapa saya sudah bayar tagihan tepat waktu pas bayar tagihan limitnya tidak naik kembali .Terima kasih,selamat siang penguna grab aplikasi ovo finasial bayar tagih pas bayar tagih limit kasih,"['selamat', 'siang', 'penguna', 'grab', 'aplikasi', 'ovo', 'finasial', 'bayar', 'tagih', 'pas', 'bayar', 'tagih', 'limit', 'kasih']",positif,negatif,negatif
Pengguna Google,1,kepada yth pimpinan perusahaan grab. manager. dan staf grab saya baru daftar kurang lebih 4 hari lalu. padahal semalam hari minggu onebid jam 08.00 pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali. tolong grab jangan kejam sekali sekali sistem nya.padahal saya tidak ada masalah dengan orderan tau batalin orderan.saya bekerjap sesuai sop di grab. jangan kejam kalian jadi manusia. kasihan akun grab baru tidak ada orderan. yg adil juga kalian grab,kepada yth pimpinan perusahaan grab. manager. dan staf grab saya baru daftar kurang lebih 4 hari lalu. padahal semalam hari minggu onebid jam 08.00 pagi baru dapat satu orderan sampai siang dan malam akun saya tidak ada orderan sama sekali. tolong grab jangan kejam sekali sekali sistem nya.padahal saya tidak ada masalah dengan orderan tau batalin orderan.saya bekerjap sesuai sop di grab. jangan kejam kalian jadi manusia. kasihan akun grab baru tidak ada orderan. yang adil juga kalian grab,yth pimpin usaha grab manager staf grab daftar malam minggu onebid jam pagi order siang malam akun order tolong grab kejam sistem order tau batalin kerjap sesuai sop grab kejam manusia kasihan akun grab order yg adil grab,"['yth', 'pimpin', 'usaha', 'grab', 'manager', 'staf', 'grab', 'daftar', 'malam', 'minggu', 'onebid', 'jam', 'pagi', 'order', 'siang', 'malam', 'akun', 'order', 'tolong', 'grab', 'kejam', 'sistem', 'order', 'tau', 'batalin', 'kerjap', 'sesuai', 'sop', 'grab', 'kejam', 'manusia', 'kasihan', 'akun', 'grab', 'order', 'yg', 'adil', 'grab']",netral,negatif,negatif
Pengguna Google,1,titiknya selalu gak sesuai,titiknya selalu tidak sesuai,titik gak sesuai,"['titik', 'gak', 'sesuai']",netral,negatif,negatif
Pengguna Google,3,titik lokasi sering tidak pas,titik lokasi sering tidak pas,titik lokasi pas,"['titik', 'lokasi', 'pas']",netral,netral,netral
Pengguna Google,3,kok gk bs dibuka aplikasinya,kok tidak bisa dibuka aplikasinya,gk bs buka aplikasi,"['gk', 'bs', 'buka', 'aplikasi']",netral,netral,netral
Pengguna Google,1,"Saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambah,malah berkurang? segera kembalikan limit ovo playlater sy! alamat email tersebut tidak valid(tidak ada di email)","Saya sudah membayar ovo playlater tapi kok limit tidak kembali atau tidak bertambah,malah berkurang? segera kembalikan limit ovo playlater sy! alamat email tersebut tidak valid(tidak ada di email)",bayar ovo playlater limit tambah kurang kembali limit ovo playlater sy alamat email valid email,"['bayar', 'ovo', 'playlater', 'limit', 'tambah', 'kurang', 'kembali', 'limit', 'ovo', 'playlater', 'sy', 'alamat', 'email', 'valid', 'email']",netral,negatif,negatif
Pengguna Google,2,"masa mau login kok susah,pke vermuk cepet bgt lngsung gagal..gmana min?","masa mau login kok susah,pke vermuk cepet sekali lngsung gagal..gmana min?",login susah pke vermuk cepet bgt lngsung gagal gmana min,"['login', 'susah', 'pke', 'vermuk', 'cepet', 'bgt', 'lngsung', 'gagal', 'gmana', 'min']",netral,negatif,negatif
Pengguna Google,3,mahal sangat TK SMA macam aplikasi BOLT,mahal sangat TK SMA macam aplikasi BOLT,mahal tk sma aplikasi bolt,"['mahal', 'tk', 'sma', 'aplikasi', 'bolt']",negatif,netral,negatif
Pengguna Google,1,banyak iklan nya ga suka,banyak iklan  tidak suka,iklan nya ga suka,"['iklan', 'nya', 'ga', 'suka']",positif,negatif,negatif
Pengguna Google,1,bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi 1 rupiah buat apa njir mending gausah 😅 tolong jangan suka kasih harapan palsu,bayar selalu tepat waktu ngak pernah tiba tiba dikasih limit tinggi tiba tiba diturunin jadi 1 rupiah untuk apa njir mending gausah 😅 tolong jangan suka kasih harapan palsu,bayar ngak kasih limit diturunin rupiah njir mending gausah tolong suka kasih harap palsu,"['bayar', 'ngak', 'kasih', 'limit', 'diturunin', 'rupiah', 'njir', 'mending', 'gausah', 'tolong', 'suka', 'kasih', 'harap', 'palsu']",positif,negatif,negatif
Pengguna Google,1,app nya sekarang lemot banget load datanya. di android 13,app  sekarang lemot sekali load datanya. di android 13,app nya lot banget load data android,"['app', 'nya', 'lot', 'banget', 'load', 'data', 'android']",negatif,negatif,negatif
Pengguna Google,1,"Driver gak komunikatif. sudah pesan gocar, sudah kontek via chat mengenai lokasi. namun driver tidak kunjung sampai, saya nunggu sampai 30menit! posisi urgent! setidak nya kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan! tolong dong tertibkan driver seperti itu!","Driver tidak komunikatif. sudah pesan gocar, sudah kontek via chat mengenai lokasi. namun driver tidak kunjung sampai, saya nunggu sampai 30menit! posisi urgent! setidak  kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan! tolong dong tertibkan driver seperti itu!",driver gak komunikatif pesan gocar kontek via chat lokasi driver kunjung nunggu posisi urgent tidak nya ambil kabarin batal tolong tertib driver,"['driver', 'gak', 'komunikatif', 'pesan', 'gocar', 'kontek', 'via', 'chat', 'lokasi', 'driver', 'kunjung', 'nunggu', 'posisi', 'urgent', 'tidak', 'nya', 'ambil', 'kabarin', 'batal', 'tolong', 'tertib', 'driver']",netral,negatif,negatif
Pengguna Google,2,ui grap maps di perbaiki lagi ya KLO aja sepi ni apk Karne udh males sama ui grap maps nya selalu nyusahin para driver ojek KLO g kami akan tarik investasi dari sham apk grap kalok Masi nyusain para driver dan pengguna .,ui grap maps di perbaiki lagi ya KLO aja sepi ni apk Karne sudah males sama ui grap maps  selalu nyusahin para driver ojek KLO g kami akan tarik investasi dari sham apk grap kalok Masi nyusain para driver dan pengguna .,ui grap maps baik ya klo aja sepi ni apk karne udh males ui grap maps nya nyusahin driver ojek klo g tarik investasi sham apk grap kalok mas nyusain driver guna,"['ui', 'grap', 'maps', 'baik', 'ya', 'klo', 'aja', 'sepi', 'ni', 'apk', 'karne', 'udh', 'males', 'ui', 'grap', 'maps', 'nya', 'nyusahin', 'driver', 'ojek', 'klo', 'g', 'tarik', 'investasi', 'sham', 'apk', 'grap', 'kalok', 'mas', 'nyusain', 'driver', 'guna']",netral,negatif,negatif
Pengguna Google,1,"ampun2.. nyari argo diatas 100 rb kaya nyari jarum ditumpukan jerami. gila. potongan selangit. jalanan macet, hujan, jam sibuk, tetap harga murah ke driver, driver selalu dipotong besar, tidak sesuai perjanjian 20℅.anda pikir mengisi bahan bakar itu bisa pakai promo? anda pikir beli ban mobil itu bisa pakai promo? tolong lah tolong","ampun2.. nyari argo diatas 100 rb kaya nyari jarum ditumpukan jerami. gila. potongan selangit. jalanan macet, hujan, jam sibuk, tetap harga murah ke driver, driver selalu dipotong besar, tidak sesuai perjanjian 20℅.anda pikir mengisi bahan bakar itu bisa pakai promo? anda pikir beli ban mobil itu bisa pakai promo? tolong lah tolong",nyari argo atas rb kaya nyari jarum tumpu jerami gila potong langit jalan macet hujan jam sibuk harga murah driver driver potong sesuai janji pikir isi bahan bakar pakai promo pikir beli ban mobil pakai promo tolong tolong,"['nyari', 'argo', 'atas', 'rb', 'kaya', 'nyari', 'jarum', 'tumpu', 'jerami', 'gila', 'potong', 'langit', 'jalan', 'macet', 'hujan', 'jam', 'sibuk', 'harga', 'murah', 'driver', 'driver', 'potong', 'sesuai', 'janji', 'pikir', 'isi', 'bahan', 'bakar', 'pakai', 'promo', 'pikir', 'beli', 'ban', 'mobil', 'pakai', 'promo', 'tolong', 'tolong']",positif,negatif,negatif
Pengguna Google,1,"jangan ada double order deh , estimasi 22:15 dateng2 22:40 , malah dingin makanannya aneh banget.","jangan ada double order deh , estimasi 22:15 dateng2 22:40 , malah dingin makanannya aneh banget.",double order deh estimasi dingin makan aneh banget,"['double', 'order', 'deh', 'estimasi', 'dingin', 'makan', 'aneh', 'banget']",negatif,negatif,negatif
Pengguna Google,1,"Opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat, waktu orang itu berharga","Opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat, waktu orang itu berharga",opsi batal pesan langsung bisa pesan lambat orang harga,"['opsi', 'batal', 'pesan', 'langsung', 'bisa', 'pesan', 'lambat', 'orang', 'harga']",netral,negatif,negatif
Pengguna Google,1,"KELAPARANMA TUNGGU SUSAH SEKALI DAPAT DRIVER, TOLOL","KELAPARANMA TUNGGU SUSAH SEKALI DAPAT DRIVER, TOLOL",kelaparanma tunggu susah driver tolol,"['kelaparanma', 'tunggu', 'susah', 'driver', 'tolol']",netral,negatif,negatif
Pengguna Google,1,pesan makan sudah nunggu 50menit malah di batalin seenaknya dijam estimasi pengantaran.. dajal memang,pesan makan sudah nunggu 50menit malah di batalin seenaknya dijam estimasi pengantaran.. dajal memang,pesan makan nunggu batalin jam estimasi antar dajal,"['pesan', 'makan', 'nunggu', 'batalin', 'jam', 'estimasi', 'antar', 'dajal']",netral,negatif,negatif
Pengguna Google,1,pesan makanan lamaa...driver g pada mau ambil...mana g ada tombol batal...masa pesan makanan bisa sampai 4 jam..kadang dibatalkan sistemnya juga..,pesan makanan lamaa...driver g pada mau ambil...mana g ada tombol batal...masa pesan makanan bisa sampai 4 jam..kadang dibatalkan sistemnya juga..,pesan makan lamaa driver g ambil g tombol batal pesan makan jam kadang batal sistem,"['pesan', 'makan', 'lamaa', 'driver', 'g', 'ambil', 'g', 'tombol', 'batal', 'pesan', 'makan', 'jam', 'kadang', 'batal', 'sistem']",netral,negatif,negatif
Pengguna Google,2,sudah dipulangin tp tetap bikin trauma. tetap aplikasi saya kasih bintang 2. jgn piara driver ga amanah ya,sudah dipulangin tapi tetap bikin trauma. tetap aplikasi saya kasih bintang 2. jgn piara driver tidak amanah ya,dipulangin tp bikin trauma aplikasi kasih bintang jgn piara driver ga amanah ya,"['dipulangin', 'tp', 'bikin', 'trauma', 'aplikasi', 'kasih', 'bintang', 'jgn', 'piara', 'driver', 'ga', 'amanah', 'ya']",positif,negatif,negatif
Pengguna Google,1,"driver mobil dan motor nya banyak pilih pilih harga , dekat kaga mau di ambil sangat kurang bagus service nya","driver mobil dan motor  banyak pilih pilih harga , dekat kaga mau di ambil sangat kurang bagus service ",driver mobil motor nya pilih pilih harga kaga ambil bagus service nya,"['driver', 'mobil', 'motor', 'nya', 'pilih', 'pilih', 'harga', 'kaga', 'ambil', 'bagus', 'service', 'nya']",positif,negatif,negatif
Pengguna Google,1,"grabfood kek 💩😤, harusnya kalau ndak ada pembatalan manual, kasih kek batal otomatis, udah 3x ini, ordeer nunggu berjam jam kek 💩, kecewaan polll. gak tau udah kelaparan malah kek gini","grabfood kek 💩😤, harusnya kalau ndak ada pembatalan manual, kasih kek batal otomatis, udah 3x ini, ordeer nunggu berjam jam kek 💩, kecewaan polll. tidak tau udah kelaparan malah kek gini",grabfood kek ndak batal manual kasih kek batal otomatis udah ordeer nunggu jam jam kek kecewa polll gak tau udah lapar kek gin,"['grabfood', 'kek', 'ndak', 'batal', 'manual', 'kasih', 'kek', 'batal', 'otomatis', 'udah', 'ordeer', 'nunggu', 'jam', 'jam', 'kek', 'kecewa', 'polll', 'gak', 'tau', 'udah', 'lapar', 'kek', 'gin']",netral,negatif,negatif
Pengguna Google,1,jangan mau beli disini harga nya mahal2 dan ga ada diskon,jangan mau beli disini harga  mahal2 dan tidak ada diskon,beli harga nya ga diskon,"['beli', 'harga', 'nya', 'ga', 'diskon']",netral,negatif,negatif
Pengguna Google,1,lelet drivernya pada gamau uang atau apa,lelet drivernya pada gamau uang atau apa,lelet drivernya gamau uang,"['lelet', 'drivernya', 'gamau', 'uang']",netral,negatif,negatif
Pengguna Google,1,mau pesan taxi online aja ribet banget.,mau pesan taxi online aja ribet banget.,pesan taxi online aja ribet banget,"['pesan', 'taxi', 'online', 'aja', 'ribet', 'banget']",negatif,negatif,negatif
Pengguna Google,2,lagi pesen ojek kok kebanyakan iklannya. bikin ribet mantau drivernya tau,lagi pesen ojek kok kebanyakan iklannya. bikin ribet mantau drivernya tau,sen ojek banyak iklan bikin ribet mantau drivernya tau,"['sen', 'ojek', 'banyak', 'iklan', 'bikin', 'ribet', 'mantau', 'drivernya', 'tau']",negatif,negatif,negatif
Pengguna Google,1,aplikasi setan gbs di cancel,aplikasi setan gbs di cancel,aplikasi setan gbs cancel,"['aplikasi', 'setan', 'gbs', 'cancel']",netral,negatif,negatif
Pengguna Google,1,kenapa sekarang greb pake blue bird ..lebih mahal 2 X lipett ..,kenapa sekarang greb pake blue bird ..lebih mahal 2 X lipett ..,greb pake blue bird mahal x lipett,"['greb', 'pake', 'blue', 'bird', 'mahal', 'x', 'lipett']",negatif,negatif,negatif
Pengguna Google,3,i cannot sign in with my email,i cannot sign in with my email,i can not sign in with my email,"['i', 'can', 'not', 'sign', 'in', 'with', 'my', 'email']",netral,netral,netral
Pengguna Google,1,Grab skarang kwalitasnya uda gak kayak dulu lagi.,Grab sekarang kwalitasnya uda tidak kayak dulu lagi.,grab skarang kwalitasnya uda gak kayak,"['grab', 'skarang', 'kwalitasnya', 'uda', 'gak', 'kayak']",netral,negatif,negatif
Pengguna Google,1,pengantaran hemat ..orderan dipending 1 jam.. wkwkwkkw,pengantaran hemat ..orderan dipending 1 jam.. wkwkwkkw,antar hemat order pending jam wkwkwkkw,"['antar', 'hemat', 'order', 'pending', 'jam', 'wkwkwkkw']",positif,negatif,negatif
Pengguna Google,1,"Bayar slalu tepat waktu.. Tiba2 limit paylatter jd NOL tanpa ada info, aneh...jd pertimbangan u/ un-install apl..","Bayar slalu tepat waktu.. Tiba2 limit paylatter jd NOL tanpa ada info, aneh...jd pertimbangan untuk un-install apl..",bayar slalu limit paylatter jd nol info aneh jd timbang apl,"['bayar', 'slalu', 'limit', 'paylatter', 'jd', 'nol', 'info', 'aneh', 'jd', 'timbang', 'apl']",netral,negatif,negatif
Pengguna Google,1,"iklan kalian menyusahkan sekali, terutama saat akan menonton YouTube.","iklan kalian menyusahkan sekali, terutama saat akan menonton YouTube.",iklan susah tonton youtube,"['iklan', 'susah', 'tonton', 'youtube']",netral,negatif,negatif
Pengguna Google,3,"Saya mau pesan makanan, di sananya tertera jelas ada diskon 60%,dan ada yg 20% saat mau saya pakai semuanya tidak bisa! jika tidak bisa di pakai tidak usah di tambah tambahin diskon!","Saya mau pesan makanan, di sananya tertera jelas ada diskon 60%,dan ada yang 20% saat mau saya pakai semuanya tidak bisa! jika tidak bisa di pakai tidak usah di tambah tambahin diskon!",pesan makan sana tera diskon yg pakai pakai tambahin diskon,"['pesan', 'makan', 'sana', 'tera', 'diskon', 'yg', 'pakai', 'pakai', 'tambahin', 'diskon']",netral,netral,netral
Pengguna Google,1,"3 jam pesan grab car tidak ada yang nyangkut padahal termasuk kota besar, giliran pakai aplikasi sebelah langsung nyangkut... mengecewakan","3 jam pesan grab car tidak ada yang nyangkut padahal termasuk kota besar, giliran pakai aplikasi sebelah langsung nyangkut... mengecewakan",jam pesan grab car nyangkut kota gilir pakai aplikasi belah langsung nyangkut kecewa,"['jam', 'pesan', 'grab', 'car', 'nyangkut', 'kota', 'gilir', 'pakai', 'aplikasi', 'belah', 'langsung', 'nyangkut', 'kecewa']",negatif,negatif,negatif
Pengguna Google,1,"Maps nya gajelas, masa iya pesen makanan tiba² lokasi kita jadi jauh banget, kasian Abang grabnya nyariin","Maps  gajelas, masa iya pesen makanan tiba² lokasi kita jadi jauh banget, kasian Abang grabnya nyariin",maps nya gajelas iya sen makan lokasi banget kasi abang grabnya nyariin,"['maps', 'nya', 'gajelas', 'iya', 'sen', 'makan', 'lokasi', 'banget', 'kasi', 'abang', 'grabnya', 'nyariin']",netral,negatif,negatif
Pengguna Google,1,kurirnya tidak sopan,kurirnya tidak sopan,kurir sopan,"['kurir', 'sopan']",netral,negatif,negatif
Pengguna Google,1,"terulang lagi beli makanan mau pakai yg cepet dan reguler sama saja,beli bubur pesen jam 7,30tiba jam 8,30satu jam? sudh tanya resto beres 7,45 driver ngaku br dpet order masuk sangat merugikan sekali pdhal. sering pakai aplikasi kayaknya kapok terakhir beli disini!","terulang lagi beli makanan mau pakai yang cepet dan reguler sama saja,beli bubur pesen jam 7,30tiba jam 8,30satu jam? sudh tanya resto beres 7,45 driver ngaku br dpet order masuk sangat merugikan sekali pdhal. sering pakai aplikasi kayaknya kapok terakhir beli disini!",ulang beli makan pakai yg cepet reguler beli bubur sen jam jam jam sudh resto beres driver ngaku br dpet order masuk rugi pdhal pakai aplikasi kayak kapok beli,"['ulang', 'beli', 'makan', 'pakai', 'yg', 'cepet', 'reguler', 'beli', 'bubur', 'sen', 'jam', 'jam', 'jam', 'sudh', 'resto', 'beres', 'driver', 'ngaku', 'br', 'dpet', 'order', 'masuk', 'rugi', 'pdhal', 'pakai', 'aplikasi', 'kayak', 'kapok', 'beli']",negatif,negatif,negatif
