title,building_type,cat1,cat2,cat3,price,tenor_20,tenor_15,location,bedroom,bathroom,lt,lb
Rumah Bebas Banjir 9 menit ke Stasiun Depok LB 180 Dibantu KPR J28620,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi,1000000000,4000000,6000000,Pancoran Mas,6,2,100,180
Rumah LB 135 Hadap Timur Siap KPR 15 menit ke Mall ITC Depok J-31756,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Pancoran Mas,4,3,79,135
Rumah LT 144 Minimalis 10 Menit ke RS Citra Medika Dibantu KPR J30853,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah,1000000000,4000000,6000000,Cilodong,2,1,144,40
Rumah 4 Kamar Tidur SHM 5 Menit ke Mall Pesona Square Dibantu KPR J34291,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Sukmajaya,4,5,214,200
Rumah LT 120 SHM 10 menit ke The Park Sawangan Siap KPR J-34193,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Sawangan,2,1,120,60
Rumah Luas 1 Lt 7 Menit ke RS Brawijaya Depok SHM Dibantu KPR J13580,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Sawangan,3,2,118,100
Rumah Siap Huni 9 Menit ke RSU Brawijaya Sawangan 2 Lt Hadap Utara J34516,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Bojong Sari,3,2,74,80
Rumah Luas 10 Menit ke Terminal Sawangan SHM Hadap Selatan J34193,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Bojong Sari,2,1,120,60
Rumah SHM 15 Menit ke Trans Studio Mall Cibubur Siap Huni Dibantu KPR J26756,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Cimanggis,2,1,126,55
Rumah Bebas Banjir 10 Menit ke RS Citra Medika Depok Siap Huni J29386,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi,1000000000,4000000,6000000,Cilodong,2,1,93,90
Rumah Dengan Konsep Modern Harga Mudah di Sawangan Depok,Rumah,Dekat Fasilitas Kesehatan,null,null,1000000000,4000000,6000000,Sawangan,3,3,65,78
Rumah Minimalis 15 Menit ke Stasiun Depok Baru 4 KT Siap Huni J31756,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Beji,4,3,79,135
Rumah Seken 2 Lantai di Depok Akses Dekat Terminal dan Stasiun Bisa KPR J31756,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Sawangan,4,3,79,135
Rumah 2 Lantai 9 Menit ke RSU Brawijaya Sawangan SHM Hadap Utara J34516,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Sawangan,3,2,74,80
Rumah 4 Kamar Tidur SHM Siap KPR 6 Menit ke Gerbang Tol Margonda 3 J34291,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1000000000,4000000,6000000,Cimanggis,4,5,214,200
Rumah Bagus 2 Lantai Area Strategis Di Sawangan Dekat Ke Cinere,Rumah,Bisa Nego,Full Furnished,Syariah,1000000000,4000000,6000000,Cinere,4,3,77,101
Rumah Siap Huni 2 Lantai Di Sawangan Depok Dekat Pintu Tol,Rumah,Siap Huni,Dekat Akses Transportasi,null,1000000000,4000000,6000000,Sawangan,3,3,65,78
"Rumah Lelang Bank DKI, Perumahan Almarina Residence, Kel. Rangkapan Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat",Rumah,null,null,null,1000000000,4000000,6000000,Pancoran Mas,1,1,94,105
Rumah Secound Bagus Siap Humi Di Tamah Baru,Rumah,Dekat Akses Transportasi,Dekat Sekolah,null,1000000000,4000000,6000000,Tanah Baru,3,2,150,100
Rumah Secound Bagus Siap Humi Di Tamah Baru,Rumah,Dekat Akses Transportasi,Dekat Sekolah,null,1000000000,4000000,6000000,Tanah Baru,3,2,150,100
"Harga Bu, Rumah Spek Mewah Dikomplek Dibojongsari Depan Shila",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Fasilitas Kesehatan,1000000000,4000000,6000000,Bojong Sari,4,2,113,280
"Apartemen Nyaman Siap Huni di Park View, Pondok Cina, Beji, Depok",Apartemen,Siap Huni,Bebas Banjir,null,1000000000,4000000,6000000,Beji,2,1,49,0
Rumah Baru Harga Sudah All In Di Pancoran Mas Dekat Exit Tol Sawangan,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah,1000000000,4000000,6000000,Pancoran Mas,3,2,89,95
Rumah Dijual Murah Dekat Pintu Tol Cisalak DP 2 Juta,Rumah,Dekat Akses Transportasi,Dekat Sekolah,Dekat Fasilitas Kesehatan,1000000000,4000000,6000000,Cimanggis,3,2,78,67
Rumah Asri Pesona Remboelan Di Sawangan Depok,Rumah,null,null,null,1000000000,4000000,6000000,Sawangan,3,2,70,74
Rumah Pesona Di Bojongsari Sawangan Depok,Rumah,null,null,null,1000000000,4000000,6000000,Sawangan,3,2,70,72
Rumah Baru Promo Agustus Di Pondok Petir Sawangan Depok,Rumah,null,null,null,1000000000,4000000,6000000,Sawangan,3,2,70,75
Remboelan Resort Sawangan Bojongsari Depok,Rumah,null,null,null,1000000000,4000000,6000000,Sawangan,3,2,70,75
Butuh Jual Cepat Rumah 2 Lantai Perumahan Dekat Lrt Harjamukti,Rumah,Bisa Nego,Siap Huni,Bebas Banjir,1000000000,4000000,6000000,Harjamukti,3,2,105,98
Dijual Rumah Rapi Siap Huni Di Boulevard Permata Cimanggis,Rumah,Bisa Nego,Siap Huni,Dekat Akses Transportasi,1000000000,4000000,6000000,Cimanggis,2,2,105,200
Ruko 2 lantai Strategis di CBD Maharaja Sawangan Depok,Ruko,null,null,null,1000000000,4000000,6000000,Sawangan,2,,56,56
Rumah SHM Minimalis 10 Menit ke Depok Town Center Dibantu KPR J-28358,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah,1010000000,4000000,6000000,Cipayung,3,3,72,72
Rumah 2 Lt Siap Huni 15 Menit ke Gerbang Tol Limo Utama Hadap Utara J26066,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1010000000,4000000,6000000,Limo,3,4,125,80
Rumah Pesona Remboelan Bojongsari Depok,Rumah,null,null,null,1010000000,4000000,6000000,Bojong Sari,3,2,70,73
Rumah Strategis 10 Menit ke Gerbang Tol Kukusan 4 Sudah Renov J23185,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah,1020000000,4000000,6000000,Pancoran Mas,3,2,72,90
Rumah Hook 1 Lantai 8 Menit ke The Park Mall Sawangan Baru Renov J24429,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah,1020000000,4000000,6000000,Sawangan,2,1,91,75
Rumah 10 Menit ke Gerbang Tol Brigif 4 SHM Siap Huni J23185,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1020000000,4000000,6000000,Pancoran Mas,3,2,72,90
Rumah LT 123 SHM Siap KPR 15 Menit ke Gerbang Tol Margonda 3 J-35228,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1030000000,4000000,6000000,Sukmajaya,3,3,123,98
Rumah 3 Kamar SHM 15 Menit ke Gerbang Tol Margonda 3 Siap KPR J35228,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1030000000,4000000,6000000,Margonda,3,3,123,98
Rumah Seken Luas 7 Menit ke Primaya Hospital Depok Dibantu KPR J35228,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1030000000,4000000,6000000,Beji,3,3,123,98
Rumah LT 123 Terawat 15 Menit ke Stasiun Depok Baru Siap Huni J35228,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1030000000,4000000,6000000,Cilodong,3,3,123,98
Rumah Strategis 12 Menit ke The Park Sawangan 2 Lt Hadap Selatan J34921,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1040000000,5000000,6000000,Sawangan,3,2,72,80
Rumah Modern Furnished Dekat Tol Cinere Depok,Rumah,Full Furnished,Bebas Banjir,Dekat Akses Transportasi,1040000000,5000000,6000000,Cinere,3,3,65,100
Rumah Furnished Modern Dekat Tol Limo Depok,Rumah,Full Furnished,Bebas Banjir,Dekat Akses Transportasi,1040000000,5000000,6000000,Limo,3,3,65,100
Rumah Furnished Siap Huni Dekat Pintu Tol Depok,Rumah,Full Furnished,Siap Huni,Dekat Akses Transportasi,1040000000,5000000,6000000,Cinere,3,3,70,100
Rumah Cantik Terawat 15 Mnt ke RS Brawijaya Sawangan Hadap Selatan J34921,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1040000000,5000000,6000000,Citayam,3,2,72,80
Dijual Kavling Tanah Lokasi Strategis Di Cinere,Tanah,Bisa Nego,Bebas Banjir,null,1040000000,40000,50000,Cinere,,,131,0
Rumah SHM 2 Lt Hadap Timur 11 Menit ke RS Citra Medika Depok J34093,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah,1050000000,5000000,6000000,Cilodong,3,2,84,62
Rumah 2 Lantai Nyaman Di Perumahan Maharaja Pancoran Mas Depok,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1050000000,5000000,6000000,Pancoran Mas,3,2,60,75
Rumah LB 115 SHM 14 Menit ke Gerbang Tol Cimanggis 1 J-37314,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1050000000,5000000,6000000,Cilodong,3,2,72,115
Rumah SHM 2 Lt Siap KPR 16 Menit ke Gerbang Tol Cimanggis 5 J-37314,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1050000000,5000000,6000000,Tapos,3,2,72,115
Rumah 2 Lt Strategis 17 Menit ke Stasiun Depok Hadap Timur J34093,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah,1050000000,5000000,6000000,Citayam,3,2,84,62
Rumah Dibantu KPR 17 Menit ke Stasiun Depok Siap Huni J34093,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah,1050000000,5000000,6000000,Sukmajaya,3,2,84,62
Rumah SHM LB 125 Strategis Siap KPR 10 Menit ke RSU Hermina Depok  J26842,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,1050000000,5000000,6000000,Cipayung,4,1,72,125
Rumah Hadap Timur 10 Mnt ke RS Citra Medika Depok SHM Dibantu KPR J-34093,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Sekolah,1050000000,5000000,6000000,Citayam,3,2,84,62
Rumah Luas 1 Lantai SHM 6 Menit ke RSU Brawijaya Sawangan Bisa KPR J11428,Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah,1050000000,5000000,6000000,Sawangan,2,1,152,60
