Title,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
"Rumah SHM Full Furnished di Rangkapan Jaya Baru, Pancoran Mas, Depok",4,2,1,95 m²,215 m²,"Cinere, Depok","Rp 1,75 Miliar",Rumah,Siap Huni,Bebas Banjir,
"Rumah SHM Full Furnished di Rangkapan Jaya Baru, Pancoran Mas, Depok",4,2,1,95 m²,215 m²,"Sawangan, Depok","Rp 1,75 Miliar",Rumah,Siap Huni,Bebas Banjir,
Rumah 2 Lantai Bagus Baru Hanya 3 Menit ke Tol Desari ,3,2,1,60 m²,60 m²,"Limo, Depok","Rp 1,3 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah Cantik 2 Lantai Di Sawangan Depok Bisa Kpr,2,2,1,54 m²,52 m²,"Sawangan, Depok",Rp 620 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,
Rumah Dalam Cluster Sawangan Depok Siap Huni ,2,1,1,84 m²,45 m²,"Depok I, Depok",Rp 610 Juta,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Furnished Akses Lebar Dekat Gerbang Tol Cinere Limo,4,3,2,98 m²,125 m²,"Cinere, Depok","Rp 1,36 Miliar",Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Baru Siap Huni Di Pancoran Mas 900 Meter Ke Pintu Tol,3,2,1,63 m²,75 m²,"Pancoran Mas, Depok",Rp 885 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Podomoro Golf View,,,,,,,,,,,
Rumah Furnished Akses Lebar Nyaman Dekat Gerbang Tol Limo,4,3,2,98 m²,120 m²,"Limo, Depok","Rp 1,36 Miliar",Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Siap Huni Di Sawangan Akses Lebar Dekat Stasiun Kereta Api,2,1,1,65 m²,48 m²,"Sawangan, Depok",Rp 500 Juta,Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Furnished Murah Di Cinere Akses Dekat Tol Limo,4,3,2,72 m²,125 m²,"Cinere, Depok",Rp 985 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Al Marina Residence,,,,,,,,,,,
Rumah Furnished Murah Dekat Tol Sawangan Depok,3,3,2,72 m²,60 m²,"Sawangan, Depok",Rp 989 Juta,Rumah,DP 0%,Bebas Banjir,Dekat Akses Transportasi
Rumah Tanah Luas Di Pancoran Mas Siap Huni 900 Meter Ke Tol,3,3,2,100 m²,110 m²,"Pancoran Mas, Depok","Rp 1,25 Miliar",Rumah,Siap Huni,Bebas Banjir,Dekat Akses Transportasi
Rumah Furnished 4 Kamar Tidur Dekat Pintu Tol Depok,4,3,2,72 m²,125 m²,"Pancoran Mas, Depok",Rp 990 Juta,Rumah,Bebas Banjir,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Pesona Remboelan Resort,,,,,,,,,,,
Rumah Cantik 15 Menit ke Stasiun Depok Lama Lt 102 Hadap Utara J-31469,3,3,,102 m²,140 m²,"Sukmajaya, Depok","Rp 1,27 Miliar",Rumah,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan,Dekat Sekolah
Rumah 4 Kamar Tidur SHM 5 Menit ke Mall Pesona Square Dibantu KPR J34291,4,5,,214 m²,200 m²,"Sukmajaya, Depok",Rp 1 Miliar,Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
Rumah Luas LT 120 Akses Dekat Gerbang Tol Limo Utama Siap Huni J35216,3,2,,120 m²,107 m²,"Limo, Depok","Rp 2,12 Miliar",Rumah,Siap Huni,Dekat Akses Transportasi,Dekat Pusat Perbelanjaan
TanaVila Matoa,,,,,,,,,,,
